alpha,beta,mu
0.5662086271372829,2.9845154952964585,2.2910150249093344
0.5239764127681948,2.879473106664385,2.340956330889623
0.08003230161321516,1.2870594674700417,4.102197317608169
0.4095504451412464,1.2853231282584456,2.9812370423303975
0.5441471853387977,2.909298445504704,1.9984496985284752
0.27563106443840985,1.6262294086450308,3.7628750230091548
0.30649570122766806,2.7497090585459114,3.5817177771296596
0.45054455510376246,1.5700668378952098,3.0026473298811323
0.7206710813062827,2.9941612781355955,1.4752935886968723
0.33636293240694953,2.8673233623905654,3.7344893025599357
0.1484737435567004,1.69895667931731,3.965781497361429
0.6584208787367465,1.837038860913263,1.551367952183751
0.05259063256260986,2.911681171371061,4.979530869261331
0.3046693346605715,2.6917277007980323,3.824398726998213
0.35022762459317197,1.8076188473410184,2.422206957605827
0.3416133878225545,1.1866884144861172,3.677547793609979
0.3243451623077737,1.701418276668058,3.7444962356234797
0.2932196612222984,1.2793178819678654,3.3023639212376943
0.5773142434525458,1.4172700008603236,2.3877359343216407
0.5774800398393347,2.9952478400169236,1.7241053911231876
0.4658504871469223,2.6525083629755155,2.721096672727363
0.28187540057790894,1.4342738481119182,3.1163314002975135
0.0997397987653053,2.5941567243969024,4.695995566146687
0.7807061333615615,2.9762021254086335,1.1606457310145106
0.6781211068660342,1.791362519962189,1.6463395786395314
0.6684014152238241,2.3537034242872665,1.3696224168944269
0.1976017277992384,1.0061332997009125,3.598290206344758
0.35275737295169224,2.163386634399191,3.2801115075555263
0.4667764194078513,1.710948063807382,2.572030103504076
0.28713538729772775,1.6657056765764324,4.124529384780917
0.7292433998595191,1.874309009723425,1.452333873002901
0.2113798349554657,2.2676864466266893,4.29957503984195
0.0925300436677008,2.4034749297595734,3.649560910680195
0.6290546793719459,2.9196895633412625,1.7127998906985118
0.6485501266063584,2.345948594100933,1.9326963990904913
0.5290121834303323,2.3817226336528874,2.3514787874484817
0.5211495578228511,2.176410870884123,2.6649065665874234
0.22986522346010702,2.093411782281726,3.551472256484302
0.7780356320475585,2.779155324614346,1.089128165284411
0.28906873920290155,2.8561011505287177,3.5178606303813913
0.7177651835282206,1.1371569680252056,1.3498309421355006
0.6230017779383505,1.789394155157238,1.8448357225073992
0.5409108178943072,2.6343134013522445,1.8862865884617581
0.6253282354985141,1.2194198207986915,2.0134626335747554
0.6702317604320503,2.615143597435212,1.629853055138079
0.30574434895320773,2.3522172395200562,2.7515383094177133
0.7629203913690881,2.563930394630604,1.2190285393233535
0.6465617144528393,1.04560103491576,1.8647935254673202
0.16621358901129302,2.8532122861891716,3.6191769266921043
0.6416338804649862,1.277888149985296,1.8920761208085204
